id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
156954	mẓll	mẓll  	mẓll/	mẓll	n. m. sg. cstr. nom.	shelter	
156955	ṭly	ṭly  	ṭly/	ṭly	DN f. sg. abs. gen.	Tallay	
156956	bt	bt 	b(t(I)/t	bt (I)	n. f. sg. cstr. gen.	daughter	
156957	rb	rb	rb/	rb(b)	n. m. sg. abs. gen.	1) drizzle b) bt rb “daugh- ter of drizzle”	bt rb 'daughter of Drizzle'.
# KTU 1.4 I:18							
156958	mṯb	mṯb  	mṯb/	mṯb	n. m. sg. cstr. nom.	residence	
156959	arṣy	arṣy  	arṣy/	ảrṣy	DN f. sg. abs. gen.	Arṣay/Arsay	
156960	bt	bt  	b(t(I)/t	bt (I)	n. f. sg. cstr. gen.	daughter	
156961	yˤbdr	yʿbdr	yˤbdr/	yʕbdr	DN sg. abs. gen.	Yaʿibdarru/'(Daughter) of the Wide World'/attribute of ảrṣy, daughter of the god bʕl (etym. unc.)	bt yʕbdr 'daughter of Yaʿibdar' (epithet of Arsay).
# KTU 1.4 I:19							
156962	ap	ap  	ap(I)	ảp (I)	adv./conj.	also, even, besides	ap mṯn rgmm 'moreover, a second matter'; ảp (I), not ảp (II) 'nose'.
156963	mṯn	mṯn  	mṯn/	mṯn	n. m. sg. cstr. acc.	repetition	mṯn rgmm 'a repeated word, a second matter'.
156964	rgmm	rgmm	rgm/m	rgm	n. m. pl. abs. gen.	2) matter	
# KTU 1.4 I:20							
156965	argmk	argmk  	!(ʔ&a!rgm[+k	/r-g-m/	vb G prefc. 1 c. sg. + 2 m. sg. suff.	to say	'I will tell you'.
156966	šskn	šskn 	!!]š]skn[	/s-k-n/	vb Š impv. m. sg.	to take care of	DULAT: šskn mʕ mgn 'do prepare a gift'.
156967	mˤ	mʿ	mˤ(I)	mʕ (I)	adv.	please!	mʕ (I) 'please', not mʕ (II) 'as one'.
# KTU 1.4 I:21							
156968	mgn	mgn  	mgn(I)/	mgn (I)	n. m. sg. abs. acc.	gift	'a gift for Lady Athirat of the Sea'.
156969	rbt	rbt  	rb(t(I)/t	rbt (I)	n. f. sg. cstr. gen.	Lady	
156970	aṯrt	aṯrt 	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
156971	ym	ym	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
# KTU 1.4 I:22							
156972	mġẓ	mġẓ  	mġẓ/	mġẓ	n. m. sg. cstr. acc.	present	
156973	qnyt	qnyt  	qny[/t	/q-n-y/	vb G act. ptcpl. f. sg. cstr. gen.	to acquire	qnyt ilm 'Creatress of the gods' (epithet of Athirat); DULAT cites /q-n-y/ here.
156974	ilm	ilm	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
# KTU 1.4 I:23							
156975	hyn	hyn  	hyn/	hyn	DN m. sg. abs. nom.	Hayyānu/alt. name of the god kṯr (Kothar)	Alternative name of Kôṯaru (Kothar) the craftsman.
156976	ˤly	ʿly  	ˤly[	/ʕ-l-y/	vb G suffc. 3 m. sg.	to go up, rise	'Hayyānu goes up to the bellows'.
156977	l	l 	l(I)	l (I)	prep.	to	
156978	mpḫm	mpḫm	mpḫ/m	mpḫ	n. m. du. abs. gen.	bellows of the forge	DULAT: mpḫ 'bellows of the forge'.
# KTU 1.4 I:24							
156979	bd	bd  	bd(IV)	bd (IV)	prep.	into the hands of, (intended) for	bd ḫss 'in the hands of Khasis'; bd (IV), not b+d.
156980	ḫss	ḫss  	ḫss/	ḫss	DN m. sg. abs. gen.	Ḫasisu/Khasis	Epithet of Kothar (kṯr w ḫss).
156981	mṣbṭm	mṣbṭm	mṣbṭ/m	mṣbṭ	n. m. du. abs. nom.	handle	DULAT: mṣbṭ 'handle/tongs'.
# KTU 1.4 I:25							
156982	yṣq	yṣq  	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out), serve	'he casts silver'.
156983	ksp	ksp  	ksp/	ksp	n. m. sg. abs. acc.	silver	
156984	yšl	yšl	!y!šlḥ(II)[	/š-l-ḥ/ (II)	vb G prefc. 3 m. sg.	to melt, smelt	MERGE WITH THE NEXT: yšl+ḥ = yšlḥ, split across lines I:25/26; DULAT form yšlḥ /š-l-ḥ/ (II).
# KTU 1.4 I:26							
156985	ḥ	ḥ  	!y!šlḥ(II)[	/š-l-ḥ/ (II)	vb G prefc. 3 m. sg.	to melt, smelt	MERGE WITH THE PREVIOUS.
156986	ḫrṣ	ḫrṣ  	ḫrṣ/	ḫrṣ	n. m. sg. abs. acc.	1) gold a) in general	'lays out gold'.
156987	yṣq	yṣq  	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out)	
156988	ksp	ksp	ksp/	ksp	n. m. sg. abs. acc.	silver	
# KTU 1.4 I:27							
156989	l	l 	l(I)	l (I)	prep.	to	l alpm 'by the thousands'.
156990	alpm	alpm  	alp(II)/m	ảlp (II)	num. pl. abs. gen.	(one, a) thousand	
156990	alpm	alpm  	alp(II)/m	ảlp (II)	n. m. pl. abs. gen.	(one, a) thousand	EUPT: noun 'thousands'.
156991	ḫrṣ	ḫrṣ  	ḫrṣ/	ḫrṣ	n. m. sg. abs. acc.	1) gold a) in general	
156992	yṣq	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out)	
# KTU 1.4 I:28							
156993	m	m  	~m	-m (II)	encl. morph.	?	yṣq-m 'he casts' (emphatic -m).
156994	l	l 	l(I)	l (I)	prep.	to	
156995	rbbtx	rbbt .[[x ]] 	?	?	?	?	'gold he casts by the myriads'. | EUPT: noun 'myriads'. | DULAT: NOT FOUND | Migrated from legacy reviewed tokenization.
156996	x	[[x ]] 	?	?	?	?	
156997	x	[[x]]	?	?	?	?	
# KTU 1.4 I:29							
156998	yṣq	yṣq  	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out)	
156999	ḫym	ḫym  	ḫym/	ḫym	n. m. sg. abs. acc.	canopy	TCS: 'He casts HYM and TBTH'.
157000	w	w 	w	w	conj.	and	
157001	tbṯḫ	tbṯḫ	tbṯḫ/	tbṯḫ	n. m. sg. abs. acc.	bed	
# KTU 1.4 I:30							
157002	kt	kt  	k(t(II)/t	kt (II)	n. f. sg. cstr. acc.	stage	kt il 'a throne-stand for El'.
157003	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157004	dt	dt  	d+t	d	det./rel. functor + encl. -t	1) the one(s) of c) specifying value	'(a stand) of twenty thousand (shekels)'.
157005	rbtm	rbtm	rb(b(t/t~m	rb(b)t	n. num. f. du. + encl. -m	ten thousand	rbtm 'two myriads = twenty thousand'.
# KTU 1.4 I:31							
157006	kt	kt  	k(t(II)/t	kt (II)	n. f. sg. cstr. acc.	stage	
157007	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157008	nbt	nbt  	nb[t===	/n-b/	vb G suffc. 3 f. sg.	to be smelted, coated with	DULAT (I:31): kt il nbt b ksp 'a divine platform coated in silver'.
157008	nbt	nbt  	nb[t===:pass	/n-b/	vb Gpass suffc. 3 f. sg.	to be smelted, coated with	EUPT: Gp (passive), 'was named/set'.
157008	nbt	nbt  	nb(t/t	nbt	n. f. sg. abs. acc.	honey	Noun reading: 'a casting (?) in silver'.
157009	b	b 	b	b	prep.	1) spatial location e) material	
157010	ksp	ksp	ksp/	ksp	n. m. sg. abs. gen.	1) silver c) treatment	
# KTU 1.4 I:32							
157011	šmrḫt	šmrḫt  	]š]mrḫ[t	/m-r-ḫ/	vb Š suffc. 3 f. sg.	to be coated	DULAT form šmrḫt /m-r-ḫ/; 'overlaid with ruddy gold'.
157012	b	b 	b	b	prep.	in	
157013	dm	dm  	dm(II)/	dm (II)	n. m. sg. cstr. gen.	blood	dm ḫrṣ 'redness of gold' = ruddy gold.
157014	ḫrṣ	ḫrṣ	ḫrṣ/	ḫrṣ	n. m. sg. abs. gen.	1) gold b) in craftwork	
# KTU 1.4 I:33							
157015	kḥṯ	kḥṯ  	kḥṯ/	kḥṯ	n. m. sg. cstr. acc.	throne	kḥṯ il 'a chair for El'.
157016	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157017	nḫt	nḫt	nḫ(t/t	nḫt	n. f. sg. cstr. acc.	divan	
# KTU 1.4 I:34							
157018	bẓr	bẓr 	bẓr/	bẓr	n. m. sg. abs. gen.	refined gold	nḫt bẓr 'a divan of fine gold' (DULAT).
157019	hdm	hdm  	hdm/	hdm	n. m. sg. abs. acc.	footstool	hdm il 'a footstool for El'.
157020	id	id	i(l(I)/ d	ỉl (I); d	DN m. sg. abs. gen.; det. or rel. functor	ʾIlu/Ilu/El; the one(s) of	DULAT reads hdm il(!) d pršả (l omitted by the scribe); not ỉd 'when'.
# KTU 1.4 I:35							
157021	d	d 	d	d	det. or rel. functor	2) which	
157022	prša	prša  	prš[&a:pass	/p-r-š/	vb Gpass suffc. 3 m. sg.	to extend, apply a coat of a material, resurface	DULAT: 'which is covered with tin'.
157023	b	b 	b	b	prep.	in	
157024	br	br	br/	br(r)	n. m. sg. abs. gen.	1) tin c) transport	DULAT br(r); a metal.
# KTU 1.4 I:36							
157025	nˤl	nʿl  	nˤl/	nʕl	n. m. sg. cstr. acc.	portable platform	nˤl il 'a footstool for El'.
157026	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157027	d	d  	d	d	det. or rel. functor	1) the one(s) of a) det. of quality	
157028	qblbl	qblbl	qblbl/	qblbl	n. m. sg. abs. nom.	junction	Meaning uncertain; DULAT 'junction'.
# KTU 1.4 I:37							
157029	ˤln	ʿln  	ˤl(I)~n	ʕl (I)	prep. + encl. -n	1) spatial location or pre-eminence a) upon	ʕl + -n; 'on it'.
157030	yblhm	yblhm  	ybl(II)/+hm	ybl (II)	n. m. pl. cstr. nom. + 3 m. pl. suff.	rod	'upon (it), their rods (were) of gold' (DULAT ybl (II)).
157031	ḫrṣ	ḫrṣ	ḫrṣ/	ḫrṣ	n. m. sg. abs. gen.	1) gold b) in craftwork	
# KTU 1.4 I:38							
157032	ṯlḥn	ṯlḥn  	ṯlḥn/	ṯlḥn	n. m. sg. cstr. acc.	table	ṯlḥn il 'a table for El'.
157033	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157034	d	d 	d	d	det. or rel. functor	2) which	
157035	mla	mla	ml(ʔ&a[	/m-l-ʔ/	vb G suffc. 3 m. sg.	to be full	'which is filled with creatures'.
# KTU 1.4 I:39							
157036	mnm	mnm  	mn(II)/~m	mn (II)	n. m. sg. abs. gen. + encl. -m	species (of animal)	DULAT cites mn (II) here: 'a table filled with species (of animals)'.
157037	dbbm	dbbm  	dbb(I)/m	dbb (I)	n. m. pl. abs. nom.	beast	
157038	d	d	d	d	det. or rel. functor	the one(s) of	
# KTU 1.4 I:40							
157039	msdt	m{.}sdt    	msd(t/t=	msdt	n. f. pl. cstr. nom.	foundation(s)	DULAT: dbbm d msdt arṣ 'beasts of the foundations of the earth'.
157040	arṣ	arṣ	arṣ/	ảrṣ	n. f. sg. cstr. gen.	3) lower world	
# KTU 1.4 I:41							
157041	ṣˤ	ṣʿ  	ṣˤ(I)/	ṣʕ (I)	n. m. sg. cstr. acc.	plate / wide bowl / platter	ṣˤ il 'a bowl for El'.
157042	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157043	dqt	dqt  	dq(t(II)/t	dqt (II)	n. f. sg. abs. acc.	manufacture, moulding	// sknt k ḥwt yman ('shaped like the land of Yaman').
157044	k	k 	k(I)	k (I)	prep.	like	
157045	amr	amr	amr(III)/	ảmr (III)	TN sg. abs. gen.	Amurru	// sknt k ḥwt yman.
# KTU 1.4 I:42							
157046	sknt	sknt  	skn(t/t	sknt	n. f. sg. abs. acc.	form	TCS: 'fashioned (?) like ...'.
157047	k	k 	k(I)	k (I)	prep.	like	
157048	ḥwt	ḥwt  	ḥw(t/t	ḥwt	n. f. sg. cstr. gen.	1) country	k ḥwt yman 'like the land of Yaman'.
157049	yman	yman	yman/	ymản	TN sg. abs. gen.	Ionia	DULAT: TN (Ionia?).
# KTU 1.4 I:43							
157050	d	d 	d	d	det. or rel. functor	2) which	
157051	bh	bh  	b+h	b	prep. + 3 m. sg. suff.	in	'on which (are) wild bulls by the myriad'.
157052	rumm	rumm  	rum/m	rủm	n. m. pl. abs. nom.	wild bull	
157053	l	l 	l(I)	l (I)	prep.	to	
157054	rbbt	rbbt	rbb(t/t	rb(b)t	num.	ten thousand	
157054	rbbt	rbbt	rbb(t/t=	rb(b)t	n. f. pl. abs. gen.	ten thousand	EUPT: noun 'myriads'.
# KTU 1.4 II:1							
157055	xb	[x]b  	?	?	?	?	
157056	xxx	x[xx ] 	?	?	?	?	
157057	xxx	[xxx ] 	?	?	?	?	
157058	xxx	[xxx]	?	?	?	?	
# KTU 1.4 II:2							
157059	l	l 	l(I)	l (I)	prep.	to	
157060	abn	abn [      ]      	abn/	ảbn	n. m. sg. abs. gen.	3) weight	
# KTU 1.4 II:3							
157061	aḫdt	aḫdt  	(ʔ&aḫd[t===	/ʔ-ḫ-d(/ḏ)/	vb G suffc. 3 f. sg.	to collect, to take (back), grasp, seize, hold	Athirat: 'she grasps her spindle in her hand' (DULAT).
157062	plkh	plkh [ ]  	plk/+h	plk	n. m. sg. cstr. acc. + 3 f. sg. suff.	spindle	
157063	b	[b ] 	b	b	prep.	in	
157064	ydh	[ydh]	yd(I)/+h	yd (I)	n. f. sg. cstr. gen. + 3 f. sg. suff.	hand	
# KTU 1.4 II:4							
157065	plk	plk  	plk/	plk	n. m. sg. cstr. acc.	spindle	
157066	tˤlt	tʿlt  	tˤl(t/t	tʕlt	n. f. sg. abs. gen.	superior power	plk tˤlt 'the spindle of majesty (?)' (DULAT).
157067	b	b 	b	b	prep.	in	
157068	ymnh	ymnh	ymn(I)/+h	ymn (I)	n. m. sg. cstr. gen. + 3 f. sg. suff.	1) right (side) a) right (hand)	
# KTU 1.4 II:5							
157069	npynh	npynh  	npyn/+h	npyn	n. m. sg. cstr. acc. + 3 f. sg. suff.	tunic	
157070	mks	mks  	mks/	mks	n. m. sg. cstr. acc.	blanket	
157071	bšrh	bšrh	bšr/+h	bšr	n. m. sg. cstr. gen. + 3 f. sg. suff.	1) flesh	mks bšrh 'the covering of her flesh'.
# KTU 1.4 II:6							
157072	tmtˤ	tmtʿ  	!t!mtˤ[	/m-t-ʕ/	vb G prefc. 3 f. sg.	to remove, shed	'she dips her garment in the sea'.
157073	mdh	mdh  	md(I)/+h	md (I)	n. f. sg. cstr. acc. + 3 f. sg. suff.	cape	EUPT genders m.
157074	b	b 	b	b	prep.	in	
157075	ym	ym  	ym(II)/	ym (II)	n. m. sg. abs. gen.	1) sea	
157076	ṯn	ṯn	ṯn(I)/	ṯn (I)	num. cstr. acc.	2) double	ṯn npynh 'her double tunic / a second time' (DULAT ṯn (I)).
# KTU 1.4 II:7							
157077	npynh	npynh  	npyn/+h	npyn	n. m. sg. cstr. gen. + 3 f. sg. suff.	tunic	
157078	b	b 	b	b	prep.	in	
157079	nhrm	nhrm	nhr/m	nhr	n. m. du. abs. gen.	1) river	'in the two rivers'.
# KTU 1.4 II:8							
157080	štt	štt  	št[t	/š-t/	vb G suffc. 3 f. sg.	to place, set, set up, leave	'she sets a pot on the fire'.
157081	ḫptr	ḫptr  	ḫptr/	ḫptr	n. m. sg. abs. acc.	cooking pot	
157082	l	l 	l(I)	l (I)	prep.	to	
157083	išt	išt	iš(t/t	ỉšt	n. f. sg. abs. gen.	1) fire	
# KTU 1.4 II:9							
157084	ḫbrṯ	ḫbrṯ  	ḫbrṯ/	ḫbrṯ	n. f. sg. abs. acc.	stewpot	KTU: ḫbrt; DULAT ḫbrṯ.; EUPT genders m.
157085	l	l 	l(I)	l (I)	prep.	to	
157086	ẓr	ẓr  	ẓr(I)/	ẓr (I)	n. m. sg. cstr. gen.	upon	
157087	pḥmm	pḥmm	pḥm/m	pḥm	n. m. pl. abs. gen.	1) ember	l ẓr pḥmm 'on top of the coals'.
# KTU 1.4 II:10							
157088	tˤpp	tʿpp  	!t!ˤpp[	/ʕ-p/	vb G prefc. 3 f. sg.	to fly	DULAT /ʕ-p/ (note 'to fly'); 'she beseeches Bull El the Benign'.
157089	ṯr	ṯr  	ṯr(I)/	ṯr (I)	n. m. sg. cstr. acc.	bull	ṯr il 'Bull El'.
157090	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. acc.	ʾIlu/Ilu/El	
157091	d	d 	d	d	det. or rel. functor	the one(s) of	
157092	pid	pid	pid/	pỉd	n. m. sg. abs. gen.	heart	d pid 'the Benevolent'.
# KTU 1.4 II:11							
157093	tġzy	tġzy  	!t!ġ(ẓ&zy[	/ġ-ẓ-y/	vb G prefc. 3 f. sg.	to win over	DULAT cites tġẓy here; tablet z for ẓ.
157094	bny	bny  	bny/	bny	n. m. sg. cstr. acc.	architect	bny bnwt 'the Creator of Creatures' (El).
157095	bnwt	bnwt	bn&w(t(II)/t=	bnt (II)	n. f. pl. abs. gen.	2) creature	
# KTU 1.4 II:12							
157096	b	b 	b	b	prep.	in	
157097	nši	nši  	!!nš(ʔ[/&i	/n-š-ʔ/	vb G inf. cstr. gen.	to raise	b nši ˤnh 'as she lifts her eyes' (inf. cstr.).
157098	ˤnh	ʿnh  	ˤn(I)/+h	ʕn (I)	n. f. du. cstr. gen. + 3 f. sg. suff.	1) eye a) ʕn bʕl qdm ydh the eye(/s) of DN precede(s) his hands	
157099	w	w 	w	w	conj.	3) in the correlation protasis-apodosis	
157100	tphn	tphn	!t!ph(y[~n	/p-h-y/	vb G prefc. 3 f. sg.	to see	'and she beholds'.
# KTU 1.4 II:13							
157101	hlk	hlk  	hlk(I)/	hlk (I)	n. m. sg. cstr. acc.	walk	hlk bˤl 'the approach of Baal'.
157102	bˤl	bʿl  	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
157103	aṯtrt	aṯ{t}rt	aṯ&tr(t(II)/t	ảṯrt (II)	DN f. sg. abs. nom.	Asherah	DULAT: ảṯ{t}rt — scribal extra t; subject of the next clause.
# KTU 1.4 II:14							
157104	k	k 	k(II)	k (II)	emph. functor	yes	
157105	tˤn	tʿn  	!t!ˤn[	/ʕ-n/	vb G prefc. 3 f. sg.	to see	DULAT /ʕ-n/ 'to see' (not /ʕ-n-y/ 'answer'); Athirat sees Baal's approach.
157106	hlk	hlk  	hlk(I)/	hlk (I)	n. m. sg. cstr. acc.	walk, course	
157107	btlt	btlt	btl(t/t	btlt	n. f. sg. cstr. gen.	virgin	hlk btlt ˤnt 'the gait of Virgin Anat'.
# KTU 1.4 II:15							
157108	ˤnt	ʿnt  	ˤn(t(I)/t	ʕnt (I)	DN f. sg. cstr. gen.	ʿAnatu/Anat	
157109	tdrq	tdrq  	tdrq/	tdrq	n. m. sg. cstr. acc.	nimble step	
157110	ybmt	ybmt	ybm(t/t	ybmt	n. f. sg. cstr. gen.	widow sister-in-law	ybmt limm 'Wanton/Sister-in-law of the peoples' (epithet of Anat).
# KTU 1.4 II:16							
157111	limm	[limm]    	lim(I)/m	lỉm (I)	n. m. pl. abs. gen.	people	
157112	bh	bh  	b+h	b	prep. + 3 f. sg. suff.	in	'in her, the feet shake'.
157113	pˤnm	pʿnm	pˤn/m	pʕn	n. f. du. abs. nom.	foot	
# KTU 1.4 II:17							
157114	tṭṭ	[tṭṭ  ]  	!t!(nṭṭ[	/n-ṭ-ṭ/	vb G prefc. 3 f. du.	to shake	Fear formula (= 1.3 III etc.).
157115	bˤdn	[bʿ]dn    	bˤd~n	bʕd	prep. + encl. -n	behind	bˤdn ksl 'behind, the loins'.
157116	ksl	ksl	ksl/	ksl	n. f. sg. abs. nom.	back	
# KTU 1.4 II:18							
157117	tṯbr	[tṯbr  ]  	!t!](n]ṯbr[	/ṯ-b-r/	vb N prefc. 3 f. sg.	to break	'her loins are broken'.
157118	ˤln	[ʿln  ]  	ˤl(I)~n	ʕl (I)	prep. + encl. -n	upon	
157119	pnh	[p]nh    	pn(m/+h	pnm	n. m. pl. tant. cstr. nom. + 3 f. sg. suff.	face	'above, her face (sweats)'.
157120	tdˤ	tdʿ	!t!(ydˤ(II)[:w	/y-d-ʕ/ (II)	vb G prefc. 3 m. pl.	to sweat	DULAT /y-d-ʕ/ (II) 'to sweat'; subject pnh (pl. tant.).
# KTU 1.4 II:19							
157121	tġṣ	tġṣ  	!t!(nġṣ[	/n-ġ-ṣ/	vb G prefc. 3 f. pl.	to contract	'the joints of her loins contract'.
157122	pnt	pnt[  ]  	pn(t/t=	pnt	n. f. pl. cstr. nom.	knuckle	
157123	kslh	[k]slh	ksl/+h	ksl	n. f. sg. cstr. gen. + 3 f. sg. suff.	back	
# KTU 1.4 II:20							
157124	anš	anš  	anš/	ảnš	n. m. pl. abs. nom.	muscle, tendon	DULAT: anš dt ẓrh 'the muscles of her back' (// 1.3 III:35).
157124	anš	anš  	(ʔ&anš[	/ʔ-n-š/	vb G suffc. 3 m. sg.	to languish, fall ill	Verb reading: '(her back) went weak'.
